iso3c,year,wbl_index
ARM,1974,55.6
ARM,1975,55.6
ARM,1976,55.6
ARM,1977,55.6
ARM,1978,55.6
ARM,1979,55.6
ARM,1980,55.6
ARM,1981,55.6
ARM,1982,55.6
ARM,1983,55.6
ARM,1984,55.6
ARM,1985,55.6
ARM,1986,55.6
ARM,1987,55.6
ARM,1988,55.6
ARM,1989,55.6
ARM,1990,55.6
ARM,1991,55.6
ARM,1992,55.6
ARM,1993,55.6
ARM,1994,55.6
ARM,1995,55.6
ARM,1996,55.6
ARM,1997,58.8
ARM,1998,58.8
ARM,1999,58.8
ARM,2000,58.8
ARM,2001,58.8
ARM,2002,58.8
ARM,2003,58.8
ARM,2004,61.9
ARM,2005,61.9
ARM,2006,76.9
ARM,2007,76.9
ARM,2008,76.9
ARM,2009,76.9
ARM,2010,76.9
ARM,2011,76.9
ARM,2012,80.0
ARM,2013,80.0
ARM,2014,80.0
ARM,2015,80.0
ARM,2016,80.0
ARM,2017,80.0
ARM,2018,80.0
ARM,2019,82.5
ARM,2020,82.5
ATG,1971,54.4
ATG,1972,54.4
ATG,1973,54.4
ATG,1974,60.6
ATG,1975,60.6
ATG,1976,60.6
ATG,1977,63.8
ATG,1978,63.8
ATG,1979,63.8
ATG,1980,63.8
ATG,1981,63.8
ATG,1982,63.8
ATG,1983,63.8
ATG,1984,63.8
ATG,1985,63.8
ATG,1986,63.8
ATG,1987,63.8
ATG,1988,63.8
ATG,1989,63.8
ATG,1990,63.8
ATG,1991,63.8
ATG,1992,63.8
ATG,1993,63.8
ATG,1994,63.8
ATG,1995,63.8
ATG,1996,63.8
ATG,1997,63.8
ATG,1998,63.8
ATG,1999,63.8
ATG,2000,66.3
ATG,2001,66.3
ATG,2002,66.3
ATG,2003,66.3
ATG,2004,66.3
ATG,2005,66.3
ATG,2006,66.3
ATG,2007,66.3
ATG,2008,66.3
ATG,2009,66.3
ATG,2010,66.3
ATG,2011,66.3
ATG,2012,66.3
ATG,2013,66.3
ATG,2014,66.3
ATG,2015,66.3
ATG,2016,66.3
ATG,2017,66.3
ATG,2018,66.3
ATG,2019,66.3
ATG,2020,66.3
AUS,1971,54.4
AUS,1972,54.4
AUS,1973,54.4
AUS,1974,54.4
AUS,1975,54.4
AUS,1976,54.4
AUS,1977,56.9
AUS,1978,56.9
AUS,1979,56.9
AUS,1980,56.9
AUS,1981,56.9
AUS,1982,59.4
AUS,1983,62.5
AUS,1984,65.6
AUS,1985,75.0
AUS,1986,75.0
AUS,1987,75.0
AUS,1988,75.0
AUS,1989,75.0
AUS,1990,75.0
AUS,1991,75.0
AUS,1992,75.0
AUS,1993,75.0
AUS,1994,75.0
AUS,1995,75.0
AUS,1996,75.0
AUS,1997,75.0
AUS,1998,81.3
AUS,1999,81.3
AUS,2000,81.3
AUS,2001,81.3
AUS,2002,81.3
AUS,2003,81.3
AUS,2004,81.3
AUS,2005,81.3
AUS,2006,81.3
AUS,2007,81.3
AUS,2008,81.3
AUS,2009,81.3
AUS,2010,83.8
AUS,2011,83.8
AUS,2012,91.3
AUS,2013,91.3
AUS,2014,93.8
AUS,2015,96.9
AUS,2016,96.9
AUS,2017,96.9
AUS,2018,96.9
AUS,2019,96.9
AUS,2020,96.9
AUT,1971,41.3
AUT,1972,41.3
AUT,1973,41.3
AUT,1974,41.3
AUT,1975,43.8
AUT,1976,43.8
AUT,1977,51.9
AUT,1978,51.9
AUT,1979,51.9
AUT,1980,70.6
AUT,1981,70.6
AUT,1982,70.6
AUT,1983,70.6
AUT,1984,70.6
AUT,1985,70.6
AUT,1986,70.6
AUT,1987,70.6
AUT,1988,70.6
AUT,1989,70.6
AUT,1990,70.6
AUT,1991,70.6
AUT,1992,73.1
AUT,1993,73.1
AUT,1994,76.3
AUT,1995,76.3
AUT,1996,76.3
AUT,1997,76.3
AUT,1998,78.8
AUT,1999,78.8
AUT,2000,78.8
AUT,2001,78.8
AUT,2002,78.8
AUT,2003,78.8
AUT,2004,81.9
AUT,2005,81.9
AUT,2006,85.0
AUT,2007,85.0
AUT,2008,85.0
AUT,2009,85.0
AUT,2010,91.3
AUT,2011,91.3
AUT,2012,91.3
AUT,2013,91.3
AUT,2014,91.3
AUT,2015,94.4
AUT,2016,94.4
AUT,2017,94.4
AUT,2018,94.4
AUT,2019,94.4
AUT,2020,94.4
