income,pop_exclue,pop_rurale_exclue,pop_urb_exclue
Lower middle income,541643429.220999,478675082.4649498,62878385.60152769
Low income,290919713.21427083,258907533.42750037,32012180.209805947
Upper middle income,31369248.91142471,19215224.837424234,10886688.675560396
High income,282248.73401892604,171403.71159379338,93232.02719558332
