SIDS,income,"mean(gdp_per_capita_growth, na.rm = TRUE)","sd(gdp_per_capita_growth, na.rm = TRUE)"
SIDS,Low Income,2.822101724820023,5.4815389212936845
SIDS,Lower middle income,-0.20910727721188554,5.17816301607576
SIDS,Upper middle income,1.4134332571399644,4.433253284678432
SIDS,High income,1.843448566902908,3.861676083612512
Others,Low Income,3.1046351946879662,3.7912167809831456
Others,Lower middle income,1.0857494607735507,6.539629282138524
Others,Upper middle income,2.310280583821704,4.28938835495238
Others,High income,2.983892861077896,9.953391331978791
