region,pop_exclue,pop_rurale_exclue,pop_urb_exclue
Sub-Saharan Africa,510043662.64553124,433047024.8772851,77013002.01225051
South Asia,271717939.7227282,256247641.7494591,15380337.881829243
East Asia & Pacific,50057728.2280214,45858525.80590595,4199202.275060249
Latin America & Caribbean,16839860.653231487,13614392.261839451,3191892.941492315
Middle East & North Africa,8872547.621426694,8054465.153572569,818082.5505356437
Europe & Central Asia,6682901.209774411,147194.59340595757,5267968.237982994
North America,0,0,0.6149386596864431
